subject_id,session_id,condition_label,task_label,network_label,n_timepoints,m_mean,m_std,m_median,m_iqr,m_mad,d_mean,d_std,d_median,d_iqr,d_mad,e_mean,e_std,e_median,e_iqr,e_mad,trace_mean,trace_std,frobenius_mean,rotation_norm_mean,anisotropy_mean,strat9_condition_number,strat9_pc1_var,strat9_pc2_var,strat9_pc3_var,strat9_pc1_3_cumulative_var,strat9_falsified
sub-006,,rest,Rest,frontal,41,-0.12619046866893768,0.47837498784065247,-0.12174121290445328,0.4070851355791092,0.23214152455329895,0.9762458801269531,1.1883571147918701,1.32186758518219,2.2108020186424255,1.0249329805374146,0.14713828265666962,0.4087788462638855,0.23228560388088226,0.47998615354299545,0.23345379531383514,0.036679428070783615,0.909289538860321,1.6298823356628418,1.0622148513793945,60.47194888775288,38.90236555555106,0.5077556404587819,0.2854971735916478,0.14977906555751655,0.9430318796079461,1.0
sub-006,,rest,Rest,central,41,-0.14267264306545258,0.6030532121658325,-0.175624281167984,0.7740596532821655,0.377369225025177,1.2886853218078613,1.2487998008728027,1.7590477466583252,2.0288578402251005,0.7284610271453857,0.2038896381855011,0.5427054166793823,0.3007780909538269,0.5488043427467346,0.2806597948074341,-0.45335230231285095,0.654495120048523,1.5626933574676514,1.0285346508026123,120.50113998751024,38.77449739227161,0.45824372149556125,0.28198965354338473,0.17321420491018238,0.9134475799491284,1.0
sub-006,,rest,Rest,parietal_occipital,41,-0.10242506116628647,0.5944691300392151,-0.03746933490037918,0.693977564573288,0.37428662180900574,0.28959327936172485,0.8298279047012329,0.1361152082681656,1.3669202625751495,0.6486124396324158,-0.39938288927078247,0.9636646509170532,-0.05657176673412323,1.601197898387909,0.6311648488044739,-0.02390959858894348,0.33480122685432434,1.0483273267745972,0.6775456666946411,67.28606457653315,43.48937340008509,0.44621127627463325,0.3629976746883237,0.1179255672885201,0.9271345182514771,1.0
sub-006,,rest,Rest,temporal,41,0.043279312551021576,0.4686727821826935,0.010340002365410328,0.37883633375167847,0.2123689204454422,0.7674857378005981,1.202438235282898,0.42957717180252075,1.4152392148971558,0.6301301717758179,0.14949913322925568,0.6205019354820251,0.24709384143352509,0.9982277452945709,0.5813052654266357,-0.6290217041969299,0.6030856370925903,2.7907259464263916,1.8303710222244263,60.46668510667956,27.378656803818465,0.4335217606727403,0.2522008415044384,0.19292020527074022,0.8786428074479189,0.0
sub-004,,rest,Rest,frontal,44,-0.014449537731707096,0.4975217878818512,-0.12068548798561096,0.7475507035851479,0.356233686208725,0.26636412739753723,0.532467782497406,0.24712041020393372,0.6864768415689468,0.3465631604194641,0.02708274871110916,0.7690677046775818,0.015876537188887596,1.1009908467531204,0.6712005138397217,-0.09993943572044373,0.4671258330345154,1.1650505065917969,0.698580265045166,63.18504380196817,inf,0.4925604042982014,0.259240587183178,0.1420166968795427,0.8938176883609221,0.0
sub-004,,rest,Rest,central,44,-0.0354740284383297,0.48873990774154663,-0.06484415382146835,0.5266030095517635,0.25089460611343384,0.23465952277183533,0.6234453916549683,0.24478204548358917,0.36763227195478976,0.19650898873806,-0.06123419106006622,0.5892588496208191,0.17332693934440613,0.8557696789503098,0.33675557374954224,-0.06389154493808746,0.2870846390724182,1.065682053565979,0.7512444853782654,141.86082851117658,inf,0.4230374965901555,0.29501585024429083,0.15495939559488006,0.8730127424293264,0.0
sub-004,,rest,Rest,parietal_occipital,44,-0.09198121726512909,0.44303810596466064,-0.1473277360200882,0.7123881690204144,0.3352472186088562,0.23508812487125397,0.6668577194213867,0.187064528465271,0.7090208530426025,0.35864150524139404,0.0609627328813076,0.8549712896347046,0.02371852658689022,0.991715706884861,0.6515325307846069,-0.2894619107246399,0.3621751368045807,0.8055757880210876,0.3723979592323303,33.399911520249496,inf,0.515109962512173,0.22952028883806194,0.18073071948935082,0.9253609708395858,1.0
sub-004,,rest,Rest,temporal,44,-0.049697019159793854,0.43996870517730713,-0.1032538041472435,0.6467426121234894,0.34381455183029175,0.22777648270130157,0.6273885369300842,0.15874575078487396,0.8380965664982796,0.42500412464141846,-0.11410555988550186,0.6146166920661926,0.030640605837106705,0.8124496228992939,0.4529910683631897,0.056342143565416336,0.3683707118034363,0.8261330723762512,0.5928888320922852,18.2528581852688,inf,0.49875582517224687,0.26794361823847496,0.1205580141032818,0.8872574575140036,0.0
sub-005,,rest,Rest,frontal,55,0.047064539045095444,0.23783941566944122,0.01541641540825367,0.2886606976389885,0.14037823677062988,0.7494261264801025,1.1914055347442627,0.09487120807170868,2.379307299852371,0.40762048959732056,0.25380954146385193,0.4486076235771179,0.27225950360298157,0.6096293218433857,0.29741790890693665,-0.2325253188610077,0.33025628328323364,0.9481087327003479,0.6265952587127686,65.3876888381623,61.09324679868284,0.6014855286189542,0.2143369960600833,0.08020850776548039,0.8960310324445179,0.0
sub-005,,rest,Rest,central,55,-0.11235242336988449,0.4440158009529114,-0.1801510602235794,0.6652693077921867,0.330483615398407,0.6626854538917542,0.8416391015052795,0.45902591943740845,1.1665197685360909,0.6221476197242737,-0.11291182786226273,0.6592919826507568,0.08672674745321274,0.9809793829917908,0.39585405588150024,0.08552836626768112,0.4158853590488434,0.7604410648345947,0.4812996983528137,23.726256240592793,30.28915912242725,0.49438430463631244,0.28665482689759514,0.11419913677030893,0.8952382683042165,0.0
