dataset_id,subject_id,session_id,condition_label,task_label,out_group,in_group,out_dim,in_dim,n_timepoints,block_trace_mean,block_frobenius_mean,block_anisotropy_mean,c_sym_mean,c_rot_mean
ds003478:sub-002:rest_Rest_run-02,sub-002,,rest,Rest,m,d,3,3,88,,0.16054435074329376,,0.1605651697821238,0.16900801709429783
ds003478:sub-002:rest_Rest_run-02,sub-002,,rest,Rest,m,e,3,3,88,,0.09408116340637207,,0.1629600723866712,0.17596051676876165
ds003478:sub-002:rest_Rest_run-02,sub-002,,rest,Rest,d,m,3,3,88,,0.28390613198280334,,0.1605651697821238,0.16900801709429783
ds003478:sub-002:rest_Rest_run-02,sub-002,,rest,Rest,d,d,3,3,88,-0.0012365666599097576,0.17795506119728088,114.86719102209264,,
ds003478:sub-002:rest_Rest_run-02,sub-002,,rest,Rest,d,e,3,3,88,,0.10209334641695023,,0.09758452643555673,0.11609282361512835
ds003478:sub-002:rest_Rest_run-02,sub-002,,rest,Rest,e,m,3,3,88,,0.32092246413230896,,0.1629600723866712,0.17596051676876165
ds003478:sub-002:rest_Rest_run-02,sub-002,,rest,Rest,e,d,3,3,88,,0.1868605613708496,,0.09758452643555673,0.11609282361512835
ds003478:sub-002:rest_Rest_run-02,sub-002,,rest,Rest,e,e,3,3,88,-0.05088713522391944,0.108818419277668,,,
ds003478:sub-003:rest_Rest_run-02,sub-003,,rest,Rest,m,m,3,3,98,0.0358673869061987,0.2654988169670105,159.66347177174626,,
ds003478:sub-003:rest_Rest_run-02,sub-003,,rest,Rest,m,d,3,3,98,,0.1702587604522705,,0.18146798402375106,0.17704452844146562
ds003478:sub-003:rest_Rest_run-02,sub-003,,rest,Rest,m,e,3,3,98,,0.1331111192703247,,0.18873874789902143,0.189858276206924
ds003478:sub-003:rest_Rest_run-02,sub-003,,rest,Rest,d,m,3,3,98,,0.30146723985671997,,0.18146798402375106,0.17704452844146562
ds003478:sub-003:rest_Rest_run-02,sub-003,,rest,Rest,d,d,3,3,98,-0.03406746289217655,0.16812407970428467,16.395564380957154,,
ds003478:sub-003:rest_Rest_run-02,sub-003,,rest,Rest,d,e,3,3,98,,0.10667629539966583,,0.09502987890523307,0.10724358503915826
ds003478:sub-003:rest_Rest_run-02,sub-003,,rest,Rest,e,m,3,3,98,,0.3442615568637848,,0.18873874789902143,0.189858276206924
ds003478:sub-003:rest_Rest_run-02,sub-003,,rest,Rest,e,d,3,3,98,,0.16998597979545593,,0.09502987890523307,0.10724358503915826
ds003478:sub-003:rest_Rest_run-02,sub-003,,rest,Rest,e,e,3,3,98,0.0157569169983914,0.16574308276176453,,,
ds003478:sub-005:rest_Rest_run-01,sub-005,,rest,Rest,m,m,3,3,119,-0.05847512321750156,0.3259090781211853,250.64371561403033,,
ds003478:sub-005:rest_Rest_run-01,sub-005,,rest,Rest,m,d,3,3,119,,0.21023471653461456,,0.21899357857573934,0.2297136563839031
ds003478:sub-005:rest_Rest_run-01,sub-005,,rest,Rest,m,e,3,3,119,,0.23015077412128448,,0.2385306133567786,0.2563261430428809
ds003478:sub-005:rest_Rest_run-01,sub-005,,rest,Rest,d,m,3,3,119,,0.37704363465309143,,0.21899357857573934,0.2297136563839031
ds003478:sub-005:rest_Rest_run-01,sub-005,,rest,Rest,d,d,3,3,119,0.018107873004148987,0.22723689675331116,66.68460063373341,,
ds003478:sub-005:rest_Rest_run-01,sub-005,,rest,Rest,d,e,3,3,119,,0.2186528742313385,,0.1679184037972899,0.1708549061054442
ds003478:sub-005:rest_Rest_run-01,sub-005,,rest,Rest,e,m,3,3,119,,0.41330212354660034,,0.2385306133567786,0.2563261430428809
ds003478:sub-005:rest_Rest_run-01,sub-005,,rest,Rest,e,d,3,3,119,,0.2467327117919922,,0.1679184037972899,0.1708549061054442
ds003478:sub-005:rest_Rest_run-01,sub-005,,rest,Rest,e,e,3,3,119,0.05023009241989054,0.21674157679080963,79.62108268858005,,
ds003478:sub-003:rest_Rest_run-01,sub-003,,rest,Rest,m,m,3,3,123,0.05659473205469852,0.2962952256202698,181.07312631994728,,
ds003478:sub-003:rest_Rest_run-01,sub-003,,rest,Rest,m,d,3,3,123,,0.2315378040075302,,0.18463884512098824,0.22031136971663653
ds003478:sub-003:rest_Rest_run-01,sub-003,,rest,Rest,m,e,3,3,123,,0.09125211089849472,,0.1657576815081321,0.17041202689089427
ds003478:sub-003:rest_Rest_run-01,sub-003,,rest,Rest,d,m,3,3,123,,0.32183292508125305,,0.18463884512098824,0.22031136971663653
ds003478:sub-003:rest_Rest_run-01,sub-003,,rest,Rest,d,d,3,3,123,0.005463354789265772,0.22100380063056946,55.917011171821656,,
ds003478:sub-003:rest_Rest_run-01,sub-003,,rest,Rest,d,e,3,3,123,,0.1087534949183464,,0.13645918655201672,0.14116149568339673
ds003478:sub-003:rest_Rest_run-01,sub-003,,rest,Rest,e,m,3,3,123,,0.3189319968223572,,0.1657576815081321,0.17041202689089427
ds003478:sub-003:rest_Rest_run-01,sub-003,,rest,Rest,e,d,3,3,123,,0.2508035898208618,,0.13645918655201672,0.14116149568339673
ds003478:sub-003:rest_Rest_run-01,sub-003,,rest,Rest,e,e,3,3,123,-0.01400704377489846,0.09732545912265778,,,
ds003478:sub-002:rest_Rest_run-01,sub-002,,rest,Rest,m,m,3,3,119,0.036212995233593365,0.3040459156036377,222.83696480959404,,
ds003478:sub-002:rest_Rest_run-01,sub-002,,rest,Rest,m,d,3,3,119,,0.20898690819740295,,0.206846929836173,0.22233341934801149
ds003478:sub-002:rest_Rest_run-01,sub-002,,rest,Rest,m,e,3,3,119,,0.10838006436824799,,0.14523815711130614,0.15123414226314602
ds003478:sub-002:rest_Rest_run-01,sub-002,,rest,Rest,d,m,3,3,119,,0.36765792965888977,,0.206846929836173,0.22233341934801149
ds003478:sub-002:rest_Rest_run-01,sub-002,,rest,Rest,d,d,3,3,119,-0.015422128199623162,0.22798201441764832,42.28723366721338,,
ds003478:sub-002:rest_Rest_run-01,sub-002,,rest,Rest,d,e,3,3,119,,0.1216893419623375,,0.11184517812265568,0.11752423299711291
ds003478:sub-002:rest_Rest_run-01,sub-002,,rest,Rest,e,m,3,3,119,,0.2714742124080658,,0.14523815711130614,0.15123414226314602
ds003478:sub-002:rest_Rest_run-01,sub-002,,rest,Rest,e,d,3,3,119,,0.19194631278514862,,0.11184517812265568,0.11752423299711291
ds003478:sub-002:rest_Rest_run-01,sub-002,,rest,Rest,e,e,3,3,119,-0.027774130303350065,0.0926424041390419,,,
ds003478:sub-001:rest_Rest_run-01,sub-001,,rest,Rest,m,m,3,3,122,-0.09028310557354058,0.32220160961151123,78.67667227299486,,
ds003478:sub-001:rest_Rest_run-01,sub-001,,rest,Rest,m,d,3,3,122,,0.2012293040752411,,0.25195408826235866,0.28030158362549834
ds003478:sub-001:rest_Rest_run-01,sub-001,,rest,Rest,m,e,3,3,122,,0.1660982370376587,,0.20540098916189592,0.23485727486063224
ds003478:sub-001:rest_Rest_run-01,sub-001,,rest,Rest,d,m,3,3,122,,0.48160433769226074,,0.25195408826235866,0.28030158362549834
ds003478:sub-001:rest_Rest_run-01,sub-001,,rest,Rest,d,d,3,3,122,-0.01623710336499527,0.23590916395187378,70.09649152833907,,
ds003478:sub-001:rest_Rest_run-01,sub-001,,rest,Rest,d,e,3,3,122,,0.17192037403583527,,0.13985403370661814,0.14927743986004688
ds003478:sub-001:rest_Rest_run-01,sub-001,,rest,Rest,e,m,3,3,122,,0.3999629616737366,,0.20540098916189592,0.23485727486063224
ds003478:sub-001:rest_Rest_run-01,sub-001,,rest,Rest,e,d,3,3,122,,0.22007279098033905,,0.13985403370661814,0.14927743986004688
ds003478:sub-001:rest_Rest_run-01,sub-001,,rest,Rest,e,e,3,3,122,0.06545948944069811,0.1992456316947937,,,
ds003478:sub-004:rest_Rest_run-01,sub-004,,rest,Rest,m,m,3,3,128,-0.03150476933660684,0.35120129585266113,243.51639614254236,,
ds003478:sub-004:rest_Rest_run-01,sub-004,,rest,Rest,m,d,3,3,128,,0.25730305910110474,,0.19653228617971763,0.19655567884910852
ds003478:sub-004:rest_Rest_run-01,sub-004,,rest,Rest,m,e,3,3,128,,0.14517159759998322,,0.2280909474939108,0.23044732643757015
ds003478:sub-004:rest_Rest_run-01,sub-004,,rest,Rest,d,m,3,3,128,,0.2830509543418884,,0.19653228617971763,0.19655567884910852
ds003478:sub-004:rest_Rest_run-01,sub-004,,rest,Rest,d,d,3,3,128,0.10937998966983287,0.20243898034095764,29.706023834645748,,
ds003478:sub-004:rest_Rest_run-01,sub-004,,rest,Rest,d,e,3,3,128,,0.1275344043970108,,0.1721170665405225,0.1873129491286818
ds003478:sub-004:rest_Rest_run-01,sub-004,,rest,Rest,e,m,3,3,128,,0.4257248640060425,,0.2280909474939108,0.23044732643757015
ds003478:sub-004:rest_Rest_run-01,sub-004,,rest,Rest,e,d,3,3,128,,0.33291861414909363,,0.1721170665405225,0.1873129491286818
ds003478:sub-004:rest_Rest_run-01,sub-004,,rest,Rest,e,e,3,3,128,-0.05452190388314193,0.1778053343296051,,,
ds003478:sub-006:rest_Rest_run-01,sub-006,,rest,Rest,m,m,3,3,127,0.037602099392005775,0.3716580271720886,174.3391970011193,,
ds003478:sub-006:rest_Rest_run-01,sub-006,,rest,Rest,m,d,3,3,127,,0.3176731765270233,,0.22183536547492808,0.23859830552668082
ds003478:sub-006:rest_Rest_run-01,sub-006,,rest,Rest,m,e,3,3,127,,0.525299072265625,,0.4380522626122152,0.4391142783437188
ds003478:sub-006:rest_Rest_run-01,sub-006,,rest,Rest,d,m,3,3,127,,0.2763710916042328,,0.22183536547492808,0.23859830552668082
ds003478:sub-006:rest_Rest_run-01,sub-006,,rest,Rest,d,d,3,3,127,0.04137435061197112,0.2534967362880707,118.32544271213801,,
ds003478:sub-006:rest_Rest_run-01,sub-006,,rest,Rest,d,e,3,3,127,,0.44419294595718384,,0.3755274328483841,0.3851093337467806
ds003478:sub-006:rest_Rest_run-01,sub-006,,rest,Rest,e,m,3,3,127,,0.6469218134880066,,0.4380522626122152,0.4391142783437188
ds003478:sub-006:rest_Rest_run-01,sub-006,,rest,Rest,e,d,3,3,127,,0.5865129232406616,,0.3755274328483841,0.3851093337467806
ds003478:sub-006:rest_Rest_run-01,sub-006,,rest,Rest,e,e,3,3,127,-0.062356526666416195,0.7101624608039856,398.0641706215115,,
ds003478:sub-007:rest_Rest_run-02,sub-007,,rest,Rest,m,m,3,3,36,-0.11098404073466857,0.22471758723258972,73.6840201748742,,
ds003478:sub-007:rest_Rest_run-02,sub-007,,rest,Rest,m,d,3,3,36,,0.18652373552322388,,0.1506611593067646,0.15627939854231146
ds003478:sub-007:rest_Rest_run-02,sub-007,,rest,Rest,m,e,3,3,36,,0.1291777491569519,,0.11961889432536231,0.11740734510951573
ds003478:sub-007:rest_Rest_run-02,sub-007,,rest,Rest,d,m,3,3,36,,0.237954780459404,,0.1506611593067646,0.15627939854231146
