subject_id,session_id,condition_label,task_label,network_label,source_block,target_block,n_timepoints,block_trace_mean,block_frobenius_mean,block_anisotropy_mean,c_sym_mean,c_rot_mean
sub-006,,rest,Rest,frontal,m,m,41,0.03548313304781914,1.10837984085083,108.25780410033006,,
sub-006,,rest,Rest,frontal,m,d,41,,2.3976805210113525,,1.2518668617957678,1.3115354562417054
sub-006,,rest,Rest,frontal,m,e,41,,1.0859721899032593,,0.8586992705479647,0.8557293865925226
sub-006,,rest,Rest,frontal,d,m,41,,0.7140820622444153,,1.2518668617957678,1.3115354562417054
sub-006,,rest,Rest,frontal,d,d,41,-0.20208998024463654,1.1742147207260132,64.20602703094482,,
sub-006,,rest,Rest,frontal,d,e,41,,0.6649664640426636,,1.1353538510126946,1.1138601639331915
sub-006,,rest,Rest,frontal,e,m,41,,1.160581111907959,,0.8586992705479647,0.8557293865925226
sub-006,,rest,Rest,frontal,e,d,41,,2.114755630493164,,1.1353538510126946,1.1138601639331915
sub-006,,rest,Rest,frontal,e,e,41,0.2032627910375595,0.8991888165473938,61.97888946533203,,
sub-006,,rest,Rest,central,m,m,41,0.8500416874885559,3.333179473876953,112.55204797402406,,
sub-006,,rest,Rest,central,m,d,41,,4.3018388748168945,,2.1957487295835447,2.215208664918557
sub-006,,rest,Rest,central,m,e,41,,3.148629903793335,,1.6522611685288258,1.6649025525802221
sub-006,,rest,Rest,central,d,m,41,,0.788122296333313,,2.1957487295835447,2.215208664918557
sub-006,,rest,Rest,central,d,d,41,-0.9974380135536194,2.2498912811279297,136.98994186596994,,
sub-006,,rest,Rest,central,d,e,41,,0.9547285437583923,,0.8295428798748896,1.014897075219032
sub-006,,rest,Rest,central,e,m,41,,0.9172979593276978,,1.6522611685288258,1.6649025525802221
sub-006,,rest,Rest,central,e,d,41,,1.538666009902954,,0.8295428798748896,1.014897075219032
sub-006,,rest,Rest,central,e,e,41,0.04967465624213219,0.9617688059806824,29.134624481201172,,
sub-006,,rest,Rest,parietal_occipital,m,m,41,0.39431214332580566,1.879474401473999,169.57762972513834,,
sub-006,,rest,Rest,parietal_occipital,m,d,41,,1.3890810012817383,,1.2662732433050106,1.325366510794713
sub-006,,rest,Rest,parietal_occipital,m,e,41,,1.472474217414856,,1.038223310922965,1.079623179557996
sub-006,,rest,Rest,parietal_occipital,d,m,41,,2.0767533779144287,,1.2662732433050106,1.325366510794713
